Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
5412.26,10.39,6.64,10.83,3.02,5.96,6.41
5427.33,9.6,5.33,9.58,3.36,6.45,7.88
5442.4,8.34,5.12,8.84,1.55,6.5,9.74
5457.47,7.85,5.25,8.87,0.11,5.93,9.89
5472.54,8.41,5.5,10.17,-0.27,5.28,8.88
5487.61,9.16,6.22,9.4,0.5,5.42,8.03
5502.68,9.33,6.69,7.96,1.45,6.09,7.66
5517.75,8.65,5.9,7.05,1.64,5.98,7.63
5532.82,7.12,5.3,6.89,1.18,3.29,7.69
5547.89,5.07,5.52,7.28,0.99,2.65,7.7
5562.96,3.49,5.98,8.29,1.49,2.83,7.44
5578.03,3.8,5.68,9.22,2.14,3.15,6.69
5593.1,6.25,5.37,9.02,2.31,3,5.84
5608.17,9.01,6.75,7.73,2.23,2.47,5.42
5623.24,10.32,9.75,6.15,2.5,2.19,5.06
5638.31,10.1,12.97,5.02,3.06,2.55,4.28
5653.38,8.97,16.5,4.86,3.59,3.76,3.52
5668.45,7.74,22,5.61,4.09,5.48,3.06
5683.52,7.39,30.34,6.51,4.74,6.3,2.61
5698.59,8,55.35,6.79,5.19,5.5,2.55
5713.66,8.34,73.53,6.86,4.16,4.09,3.41
5728.73,7.68,97.39,8.08,1.27,3.17,4.31
5743.8,6.71,127.66,10.56,-1.34,3.06,4.06
5758.87,6.42,163.97,12.33,-1.53,3.66,2.87
5773.94,7.19,205.85,11.5,-0.11,4.38,2.17
5789.02,11.13,254.1,9.37,1.23,4.7,3.37
5804.09,17.51,311.04,10.2,9.42,5.97,15.37
5819.16,35.79,378.99,39.21,23.74,12.33,31.54
5834.23,79.56,457.89,86.39,56.74,69.17,65.5
5849.3,167.08,543.73,180.53,127.94,142.89,133.48
5864.37,318.07,630.86,342.74,261.6,266.24,254.4
5879.44,546.95,716.69,585.85,476.97,449.69,441.89
5894.51,853.9,885.31,909.17,779.52,694.8,697.87
5909.58,1221.33,961.25,1296.73,1155.48,990.86,1011.47
5924.65,1616.69,1025.08,1715.52,1572.93,1314.67,1361.06
5939.72,1995.41,1074.86,2114.02,1988.71,1633.52,1714.62
5954.79,2304.12,1109.88,2427.84,2353.2,1907.3,2029.14
5969.86,2490.95,1130.9,2598.87,2613.54,2094.08,2255.96
5984.93,2522.04,1139.02,2599.34,2725.37,2164.66,2355.48
6000,2394.69,1133.02,2441.08,2669.79,2114.22,2314.23
6015,2139.94,1111.12,2165.3,2462.88,1960.63,2149.51
6030.03,1811.64,1073.48,1825.84,2150.41,1736.07,1898.7
6045.05,1465.2,1021.4,1473.34,1789.03,1477.1,1606.2
6060.08,1140.42,957.29,1143.61,1426.76,1214.74,1311.74
6075.11,857.51,808.65,855.56,1095.76,970.49,1040.95
6090.13,622.21,729.92,616.64,813.32,757.91,805.99
6105.16,434.44,650.31,428.93,583.9,583.4,611.99
6120.19,292.72,572.27,289.71,404.71,446.22,459.15
6135.22,191.65,498.58,190.99,271.83,263.58,343.04
6150.24,122.2,430.38,81.65,179.58,206.87,256.49
6165.27,76.48,366.96,55.9,78.78,166.07,145.59
6180.3,33.77,308.1,39.74,53.86,136.85,113.27
6195.32,25.17,255.29,29.4,38.94,115.82,91.4
6210.35,19.15,209.94,23.13,29.36,100.37,74.79
6225.38,14.9,172.01,19.32,21.74,88.88,60.37
6240.4,13.09,140.15,16.86,15.52,80.59,48.76
6255.43,13.13,112.81,15.39,11.73,73.93,41.24
6270.46,13.17,71.07,14.43,10.46,66.26,37.09
6285.49,12.44,56.29,13.49,10.35,56.88,34.6
6300.51,11.48,44.43,12.58,9.92,48.35,32.8
6315.54,10.49,35.59,12.23,9.03,42.84,31.51
6330.57,9.24,29.34,13.15,8.33,39.34,30.35
6345.59,7.93,24.31,14.97,7.62,35.48,28.24
6360.62,6.89,19.97,15.91,6.37,30.71,24.6
6375.65,6.05,16.53,15.01,4.98,26.49,20.63
6390.67,5.06,13.57,13.43,4.23,23.53,18.18
6405.7,4.24,10.64,12.43,4.29,20.73,17.65
6420.73,4.55,8.19,11.69,4.35,17.17,17.8
6435.76,5.93,6.63,9.92,3.27,9.82,17.3
6450.78,7.03,5.93,6.82,1.31,8.04,15.91
6465.81,7.33,5.57,3.73,0.08,7.78,14.69
6480.84,7.34,5.01,1.69,0.26,7.89,14.77
6495.86,7.2,4.45,1.06,0.97,7.54,15.32
6510.89,6.71,4.26,2.1,1.04,6.75,12.49
6525.92,6.08,4.4,2.94,0.1,5.51,11.18
6540.94,5.52,4.64,3.61,0.63,4.15,10.94
6555.97,4.95,4.61,4.7,1.47,3.62,10.75
6571,3.78,4.02,5.82,1.96,4.29,9.72
6586.03,3.35,3.2,6.22,1.97,5.76,7.8
6601.05,2.9,2.94,6.16,1.64,7.5,6.19
6616.08,2.33,3.41,6.56,1.28,8.64,6.24
6631.11,2.31,4.13,7.57,1.2,8.81,7.28
6646.13,3.36,4.68,8.27,0.82,8.65,7.44
6661.16,4.65,4.1,8.27,-0.77,8.44,6.05
6676.19,4.99,3.18,8.29,-2.99,7.78,4.3
6691.21,4.21,3.1,8.6,-4.43,6.5,4.25
6706.24,3.08,4.15,7.94,-4.85,4.69,6.44
6721.27,2.67,5.29,5.27,-4.51,2.81,8.5
6736.29,3.12,5.42,2.07,-3.33,1.56,8.2
6751.32,3.03,4.56,0.91,-1.62,1.37,6.27
6766.35,1.84,3.9,1.74,0.08,1.23,4.63
6781.38,1.22,4.34,2.75,1.34,0.56,4.16
6796.4,1.99,5.11,3.32,1.43,0.03,4.66
6811.43,2.77,4.94,3.54,0.18,0.09,5.31
6826.46,2.5,3.97,3.99,-1.18,0.56,5.47
6841.48,1.25,3.33,5.23,-1.24,1.27,5.42
6856.51,-0.35,4.19,6.43,-0.04,1.78,7.11
6871.54,-1.06,4.04,6.82,1.18,1.38,8.03
6886.56,0,2.83,6.33,0.47,0.35,7.91
6901.59,2.08,1.32,5.23,0.17,0.1,7.05
6916.62,3.51,0.27,4.32,1.03,1.11,6.2
6931.65,3.64,-0.13,4.63,1.79,2.22,5.55
6946.67,2.29,-0.21,5.88,1.31,2.24,4.72
6961.7,1.35,-0.22,6.51,0.01,1.44,3.65
6976.73,0.81,0.25,5.85,-0.88,1.21,3.08
6991.75,1.67,1.78,4.94,-0.43,2.03,3.67
7006.78,3.54,3.78,4.83,1,2.6,4.9
7021.81,4.7,5.16,4.65,1.72,1.6,5.51
7036.83,4.21,5.88,2.87,1.03,-0.37,5.17
7051.86,2.85,6.78,0.22,0.37,-1.78,4.56
7066.89,1.89,6.64,-0.72,0.86,-1.45,4.06
7081.92,1.83,5.77,0.89,1.7,-1.2,3.47
7096.94,2.12,4.3,3.37,1.7,-0.76,2.68
7111.97,2.4,3.05,4.99,0.87,-0.2,2
7127,2.98,2.94,5.61,0.22,0.16,1.61
7142.02,3.75,3.79,6.11,0.11,0.46,1.25
7157.05,4.3,4.6,6.64,-0.28,1.07,1
7172.08,4.59,5.1,5.05,-1.25,2.12,1.54
7187.1,4.45,5.45,3.89,-2,3.22,2.46
7202.13,3.82,5.29,3.53,-2.13,3.79,2.1
7217.16,3.48,4.33,3.82,-1.97,3.68,2.53
7232.19,3.57,2.59,4.32,-1.49,2.96,3.99
7247.21,3.33,-1.81,4.5,0.27,1.38,5.68
7262.24,2.61,-2.36,4.29,-0.49,-0.54,6.63
7277.27,1.61,-0.98,4.09,-1.87,-1.34,6.65
7292.29,0.24,0.77,3.89,-1.97,-0.59,6.27
7307.32,-1.01,1.13,3.61,-0.81,0.51,5.49
7322.35,-1.2,0.6,3.76,0.22,0.9,3.7
7337.37,0.31,0.77,4.62,0.26,1.09,1.24
7352.4,-0.08,1.51,5.57,-1.16,3.68,-0.27
7367.43,-0.68,1.88,5.95,-3.6,3.57,0.37
7382.46,-0.4,2.2,5.36,-5.26,1.88,2.52
7397.48,0.9,2.76,3.95,-5.2,0.73,4.15
7412.51,2.44,2.89,2.77,-4.28,1.23,4.09
7427.54,3.17,2.12,2.31,-3.2,2.38,3.26
7442.56,3.25,0.33,2,-1.84,2.85,2.99
7457.59,3.87,0.33,1.79,-0.36,2.24,3.4
7472.62,4.79,0.53,2.4,0.64,0.59,3.85
7487.64,4.44,1.11,3.7,0.7,-1.55,4.1
7502.67,2.8,2.39,3.71,0.07,-2.43,4.63
7517.7,1.31,3.47,2.32,-0.36,-0.86,5.58
7532.72,0.64,3.57,1.92,-0.49,1.53,5.88
7547.75,0.62,3.52,2.67,-1.26,2.03,4.01
7562.78,1.1,4.08,3.02,-2.59,0.39,3.93
7577.81,1.47,4.65,1.97,-2.84,-1.19,4.51
7592.83,1.19,4.54,0.22,-1.65,-1.49,5.18
7607.86,0.75,3.73,-0.69,-1.7,-1.61,5.65
7622.89,0.76,2.51,-0.01,-2.42,-2.53,6.04
7637.91,1.23,1.53,1.49,-1.88,-3.16,6.33
7652.94,2.15,1.86,2.64,-0.65,0.45,6.04
7667.97,3.02,1.69,3.2,-0.05,2.58,5.14
7682.99,2.61,0.95,3.4,-1.04,3.37,4.53
7698.02,0.87,0.3,3.24,-3.06,3.25,4.58
7713.05,-0.25,0.14,2.67,-4.32,3.19,4.39
7728.08,3.32,0.44,2.06,-4.15,3.26,3.38
7743.1,4.77,0.88,2.12,-3.61,2.92,2.36
7758.13,4.25,1.16,3.04,-3.45,2.11,2.1
7773.16,2.36,1.4,3.99,-3.17,0.87,2.1
7788.18,0.42,2.15,4.11,-2.39,-0.49,1.67
7803.21,0.2,3.84,3.48,-1.85,-0.94,1.1
7818.24,1.85,5.82,2.76,-2.07,-0.41,1.03
7833.26,3.24,4.57,2.22,-2.48,-0.34,1.16
7848.29,3.21,1.75,2.28,-2.68,-1.42,0.74
7863.32,3.09,0.42,2.18,-3.06,-2.39,0.14
7878.35,4.15,0.89,1.78,-3.64,-1.81,0.19
7893.37,5.6,1.22,1.48,-3.98,-0.06,2.22
7908.4,5.84,0.66,1.73,-4.13,1.05,2.72
7923.43,4.63,0.44,2.48,-4.44,0.69,3.03
7938.45,3.17,1.22,3.21,-4.86,0.13,4.12
7953.48,1.89,1.94,3.59,-5.13,0.81,4.91
7968.51,0.09,1.38,3.65,-4.95,3.22,3.95
7983.53,-1.85,-0.01,3.34,-4.4,2.61,2.23
7998.56,-2.6,-0.74,3.11,-3.84,1.05,1.41
8013.59,-2.32,-0.71,3.58,-3.14,-0.2,1.8
8028.62,-2.09,-1.6,4.04,-2.05,0,3.06
8043.64,-1.67,-1.27,4.09,-1.17,1.16,4.64
8058.67,-0.46,-0.01,4.61,-1.41,1.39,5.48
8073.7,1.04,0.84,5.36,-2.43,0.46,5.01
8088.72,2.32,0.54,4.92,-2.74,0.25,3.87
8103.75,4.49,0.03,3.34,-1.51,1.6,2.87
8118.78,4.91,0.3,1.47,0.41,2.79,2.56
8133.8,4.79,0.91,-0.47,1.57,1.96,3.33
8148.83,4.2,0.95,-1.88,1.47,-0.39,4.31
8163.86,3.38,0.59,-1.76,0.64,-1.92,4.06
8178.88,2.77,0.58,0.61,-0.19,-1.34,3
8193.91,2.11,0.82,1.73,-0.42,0.11,2.92
8208.94,0.91,0.57,3.21,0.03,0.54,4.23
8223.97,-0.45,0.41,3.65,0.57,-0.4,5.67
8238.99,-1.04,0.84,1.67,0.63,-1.74,6.87
8254.02,-0.41,-0.18,-1.02,0.18,-2.26,7
8269.05,0.82,-2.26,-1.76,-0.4,-0.54,6.34
8284.07,1.58,-3.6,-0.53,-0.46,-0.37,4.54
8299.1,1.91,-3.65,1.22,-0.08,0.15,2.17
8314.13,2.87,-2.85,2.89,-0.39,1.54,0.78
8329.15,4.28,-1.42,3.93,-3.17,2.43,1.03
8344.18,4.4,0.19,3.46,-3.44,1.85,2.01
8359.21,2.71,1.39,1.88,-2.38,0.51,3.29
8374.24,1,1.89,0.72,-0.79,-0.43,5.04
8389.26,0.94,1.39,0.28,-0.15,-0.68,6.49
8404.29,1.98,0.33,-0.2,-0.87,-0.54,6.59
8419.32,3.15,1.25,-0.22,-1.7,0.12,5.38
8434.34,4.56,2.72,0.76,-1.61,1.15,3.81
8449.37,5.87,3.26,1.32,-1.12,1.74,2.76
8464.4,5.83,2.3,0.32,-1.42,1.87,2.46
8479.42,4.13,0.23,-0.97,-2.64,2.17,2.15
8494.45,0.26,-2.02,-0.72,-3.69,2.7,1.16
8509.48,-0.19,-3.6,3.33,-3.51,3.34,0.05
8524.51,0.27,-4.3,4.39,-2.13,3.76,-0.37
8539.53,1.04,-4.39,3.34,-0.77,3.07,-0.18
8554.56,1.39,-3.99,1.29,-0.49,1.53,0.34
8569.59,1.12,-2.94,0.87,-0.96,1.17,1.46
8584.61,0.59,-1.36,2.46,-1.53,1.2,4.38
8599.64,0.4,0,3.8,-2.16,0.76,4.43
8614.67,1.23,-4.04,3.54,-2.45,0.87,3.58
8629.69,2.71,-5.27,2.4,-2.21,1.21,2.79
8644.72,3.05,-5.17,1.39,-2.13,0.62,2.46
8659.75,1.5,-4.41,0.66,-2.27,-0.5,2.27
8674.78,-0.39,-3.85,-0.33,-2.1,-0.78,2.02
8689.8,-1.24,-3.36,-1.29,-2.14,-0.38,1.97
8704.83,-1.46,-3.34,-0.81,-1.26,-0.33,2.41
8719.86,-1.76,-4.29,1.7,0.21,-0.53,3.36
8734.88,-1.72,-5.18,4.53,0.24,-0.33,4.61
8749.91,-0.88,-4.86,5.32,-1.34,0.25,5.8
8764.94,0.32,-3.7,3.75,-2.99,0.86,6.58
8779.96,1.34,-2.4,0.97,-4,1.39,6.36
8794.99,1.68,-1.27,-1.93,-3.99,1.95,4.54
8810.02,0.9,-0.92,-3.57,-2.51,2.61,1.89
8825.04,-0.48,-1.57,-2.89,-0.56,3.23,0.27
8840.07,-1.19,-2.36,-0.34,0.32,3.61,0.02
8855.1,-0.75,-2.87,3.76,0,3.16,0.28
8870.13,0.24,-2.53,3.9,-0.53,-1.13,1.13
8885.15,1.38,-1.35,3.11,-0.66,-2.75,2.42
8900.18,1.33,-0.38,1.15,-0.49,-2.73,2.71
8915.21,1.69,-0.58,-1.4,-0.49,-1.34,1.78
8930.23,2.56,-1.42,-2.71,-0.99,0.69,3.03
8945.26,3.09,-1.6,-2.25,-1.72,2.52,5.11
8960.29,2.87,-1.13,-1.39,-2.12,3.28,6.25
8975.31,2.15,-0.95,-0.76,-2.23,2.86,5.69
8990.34,0.99,-1.34,0.29,-2.49,1.94,3.91
9005.37,-0.42,-3.02,1.3,-2.45,0.85,2.22
9020.4,-1.75,-3.51,1.03,-1.28,-0.23,1.5
9035.42,-2.83,-3.43,-0.68,0.39,-0.87,1.67
9050.45,-2.96,-3.25,-2.87,-0.3,-1.42,2.17
9065.48,-1.87,-2.89,-4.36,-1.97,-2.03,2.52
9080.5,-1.09,-2.14,-4.47,-3.08,-1.51,2.73
9095.53,-1.73,-1.49,-3.68,-3.85,0.33,2.81
9110.56,-2.78,-0.97,-2.85,-4.38,1.55,2.17
9125.58,-2.91,0,-2.03,-3.87,1.03,1.33
9140.61,-2.1,0,-1.08,-2.18,0.36,2.2
9155.64,-1.31,0,-0.65,-0.76,0.91,4.86
9170.67,-0.89,0,-0.65,-0.86,1.18,6.61
9185.69,-0.2,0,1.92,-2,-1.76,5.62
9200.72,0.72,0,2.56,-2.86,-1.25,3.25
9215.75,1.09,0,1.48,-2.96,0.35,2.14
9230.77,1.01,0,0.35,-2.93,1.18,2.97
9245.8,1.02,0,0.53,-3.38,0.72,3.84
9260.83,0.95,0,0.98,-4.13,-0.67,3.33
9275.85,0.87,0,0.07,-4.68,-2.14,2.09
9290.88,0.57,0,-1.64,-4.89,-2.18,2.9
9305.91,0.26,0,-2.42,-4.9,-0.23,4.34
9320.94,0.41,0,-2.1,-4.73,2.21,5.98
9335.96,0.49,0,-1.65,-4.17,3.43,7.22
9350.99,-0.16,0,-1.36,-3.35,3.38,7.36
9366.02,-0.96,0,-0.97,-2.93,2.68,6.21
9381.04,-1.41,0,-0.57,-3.65,1.63,4.7
9396.07,-1.74,0,-0.23,-5.34,0.96,4.03
9411.1,-1.76,0,0.24,-4.56,1.23,3.93
9426.12,-1.28,0,0.98,-1.89,1.54,3.21
9441.15,-0.91,0,2.09,-0.55,1.13,1.96
9456.18,-0.71,0,3.37,-0.55,0.79,1.49
9471.21,0.01,0,3.9,-0.69,0.79,2.43
9486.23,1.13,0,2.98,-0.88,-0.35,3.9
9501.26,2.12,0,1.68,-1.47,-0.04,4.76
9516.29,2.71,0,1.48,-2.33,1.02,4.98
9531.31,2.36,0,2.58,-3.06,1.95,5.04
9546.34,0.95,0,2.23,-2.85,2.68,5.1
9561.37,-0.22,0,1.51,-1.21,3.31,5.04
9576.39,-0.18,0,1.29,0.97,3.78,4.29
9591.42,0.26,0,2,2.16,4.42,2.6
9606.45,0.1,0,2.84,1.58,4.85,1.01
9621.47,-0.36,0,2.76,-0.06,4.03,1.46
9636.5,-0.41,0,2.02,-0.93,2.09,2.55
9651.53,1.07,0,1.27,-0.08,0.37,3.13
9666.56,1.88,0,0.06,1.17,-0.13,3.07
9681.58,1.72,0,-1.85,1.02,0.73,2.54
9696.61,0.52,0,-3.6,-0.6,2.51,1.65
9711.64,-0.42,0,-4.69,-2.15,4.84,0.93
9726.66,-0.1,0,-5.19,-2.26,7.03,1.13
9741.69,0.84,0,-4.99,-1.16,7.53,2.43
9756.72,1.1,0,-4.2,-0.49,5.93,4.16
9771.74,0.44,0,-3.15,-1.05,4.29,5.27
9786.77,-0.15,0,-2.19,-0.88,5.73,5.51
9801.8,0,0,-1.83,-0.73,5.86,5.63
9816.83,0.53,0,-1.48,-1.6,4.28,5.88
9831.85,1.17,0,0.35,-2.68,2.54,5.83
9846.88,1.96,0,2.94,-2.79,1.75,5.61
9861.91,2.19,0,3.57,-2.12,1.72,5.36
9876.93,1.22,0,2.22,-1.3,2.2,4.58
9891.96,-0.06,0,0.62,-0.66,2.45,3.36
9906.99,-0.61,0,-0.79,-0.64,1.34,2.72
9922.01,-0.58,0,-1.21,-1.43,-0.64,3.21
9937.04,-0.2,0,-0.82,-2.46,-1.64,4.61
9952.07,0.29,0,-1.24,-3.13,-1.03,6.28
9967.1,-0.08,0,-3.04,-3.38,0,6.61
9982.12,-1.2,0,-4.43,-3.56,5.53,5.93
9997.15,-1.68,0,-3.92,-4.12,3.86,5.46
10012.18,-1.07,0,-2.47,-4.9,1.17,4.77
10027.2,-0.23,0,-1.64,-4.95,0,4.02
10042.23,1.13,0,-1.37,-3.92,1.94,3.72
10057.26,1.16,0,-0.75,-2.14,5.26,3.78
10072.28,-0.05,0,0,0.07,6.85,3.72
10087.31,-2.21,0,0,1.48,4.22,3.1
10102.34,-3.9,0,0,0.6,3.56,1.95
10117.37,-3.92,0,0,-3.35,4.53,1.03
10132.39,-2.83,0,0,-3.37,6.43,1.02
10147.42,-1.5,0,0,-2.34,8.09,1.94
10162.45,0.31,0,0,-0.64,8.38,3
10177.47,2.32,0,0,0.53,7.01,2.91
10192.5,3.44,0,0,-0.77,4.92,1.48
10207.53,3.5,0,0,-4,3.11,0.2
10222.55,3,0,0,-6.22,1.75,0
10237.58,2.03,0,0,-5.84,0.96,0.29
10252.61,0.83,0,0,-3.73,1.01,0.58
10267.63,0.4,0,0,-1.4,1.96,0.98
10282.66,1.29,0,0,0.22,3.78,1.37
10297.69,2.19,0,0,0.7,5.8,1.44
10312.72,1.64,0,0,0,6.46,0.29
10327.74,0.22,0,0,-2.57,5.13,0.21
10342.77,-0.74,0,0,-5.2,3.35,0.85
10357.8,-1.19,0,0,-6.98,2.73,1.14
10372.82,-1.59,0,1.58,-6.47,3.04,0.89
10387.85,-1.45,0,3.8,-4.88,3.48,1.1
10402.88,-0.47,0,5.03,-3.95,4.05,2.05
10417.9,3.41,0,4.83,-3.61,3.21,2.99
10432.93,0.8,0,3.69,-3.37,1.65,3.17
10447.96,0,0,2.07,-3.14,0.39,2.45
10462.99,1.73,0,0.61,-2.65,0,1.7
10478.01,3.96,0,0,-0.98,0,1.88
10493.04,4.48,0,0,-0.8,0,2.59
10508.07,3.26,0,0.44,-1.02,0,3.15
10523.09,1.91,0,1.35,-1.62,0,3.76
10538.12,1.53,0,2.15,-2.59,0,4.58
10553.15,1.65,0,1.99,-3.04,0,5
10568.17,1.8,0,2.16,-2.79,0,4.35
10583.2,2.56,0,1.98,-3.12,0,2.85
10598.23,3.93,0,1.03,-4.09,0,1.67
10613.26,4.27,0,0,-4.18,0,1.59
10628.28,2.7,0,0,-2.68,0,2.22
10643.31,1.22,0,0,-0.76,0,2.63
10658.34,1.72,0,0,0,0,0.82
10673.36,2.81,0,0,-0.37,0,0
10688.39,2.63,0,0,-0.77,0,0.63
10703.42,1.89,0,0,-1.08,0,2.65
10718.44,2.29,0,0,-1.71,0,4.37
10733.47,4.04,0,0,-2.14,0,4.08
10748.5,5.45,0,0,-1.89,0,2.03
10763.53,4.93,0,0,-1.63,0,0
10778.55,2.89,0,0,-2.24,0,0
10793.58,0.98,0,0,-3.3,0,0
10808.61,0.39,0,0,-3.58,0,0
10823.63,0.84,0,0,-2.7,0,0
10838.66,0.88,0,0,-0.72,0,0
10853.69,0.72,0,0,0,0,0
10868.71,0.54,0,0,0,0,0
10883.74,0.15,0,0,0,0,0
10898.77,0,0,0,0,0,0
10913.79,0.28,0,0,0,0,0
10928.82,1.12,0,0,0,0,0
10943.85,1.36,0,0,0,0,0
10958.88,0,0,0,0,0,0
10973.9,0,0,0,0,0,0
10988.93,0,0,0,0,0,0
11003.96,0,0,0,0,0,0
11018.98,0,0,0,0,0,0
11034.01,0,0,0,0,0,0
11049.04,0,0,0,0,0,0
11064.06,0,0,0,0,0,0
11079.09,0,0,0,0,0,0
11094.12,0,0,0,0,0,0
11109.15,0,0,0,0,0,0
11124.17,0,0,0,0,0,0
11139.2,0,0,0,0,0,0
11154.23,0,0,0,0,0,0
11169.25,0,0,0,0,0,0
11184.28,0,0,0,0,0,0
11199.31,0,0,0,0,0,0
11214.33,0,0,0,0,0,0
11229.36,0,0,0,0,0,0
11244.39,0,0,0,0,0,0
11259.42,0,0,0,0,0,0
11274.44,0,0,0,0,0,0
11289.47,0,0,0,0,0,0
11304.5,0,0,0,0,0,0
11319.52,0,0,0,0,0,0
11334.55,0,0,0,0,0,0
11349.58,0,0,0,0,0,0
11364.6,0,0,0,0,0,0
11379.63,0,0,0,0,0,0
11394.66,0,0,0,0,0,0
11409.69,0,0,0,0,0,0
11424.71,0,0,0,0,0,0
11439.74,0,0,0,0,0,0
11454.77,0,0,0,0,0,0
11469.79,0,0,0,0,0,0
11484.82,0,0,0,0,0,0
11499.85,0,0,0,0,0,0
11514.87,0,0,0,0,0,0
11529.9,0,0,0,0,0,0
11544.93,0,0,0,0,0,0
11559.96,0,0,0,0,0,0
11574.98,0,0,0,0,0,0
11590.01,0,0,0,0,0,0
11605.04,0,0,0,0,0,0
11620.06,0,0,0,0,0,0
11635.09,0,0,0,0,0,0
11650.12,0,0,0,0,0,0
11665.14,0,0,0,0,0,0
11680.17,0,0,0,0,0,0
11695.2,0,0,0,0,0,0
11710.22,0,0,0,0,0,0
11725.25,0,0,0,0,0,0
11740.28,0,0,0,0,0,0
11755.31,0,0,0,0,0,0
11770.33,0,0,0,0,0,0
11785.36,0,0,0,0,0,0
11800.39,0,0,0,0,0,0
11815.41,0,0,0,0,0,0
11830.44,0,0,0,0,0,0
11845.47,0,0,0,0,0,0
11860.49,0,0,0,0,0,0
11875.52,0,0,0,0,0,0
11890.55,0,0,0,0,0,0
11905.58,0,0,0,0,0,0
11920.6,0,0,0,0,0,0
11935.63,0,0,0,0,0,0
11950.66,0,0,0,0,0,0
11965.68,0,0,0,0,0,0
11980.71,0,0,0,0,0,0
11995.74,0,0,0,0,0,0
12010.76,0,0,0,0,0,0
12025.79,0,0,0,0,0,0
12040.82,0,0,0,0,0,0
12055.85,0,0,0,0,0,0
12070.87,0,0,0,0,0,0
12085.9,0,0,0,0,0,0
12100.93,0,0,0,0,0,0
12115.95,0,0,0,0,0,0
12130.98,0,0,0,0,0,0
12146.01,0,0,0,0,0,0
12161.03,0,0,0,0,0,0
12176.06,0,0,0,0,0,0
12191.09,0,0,0,0,0,0
12206.12,0,0,0,0,0,0
12221.14,0,0,0,0,0,0
12236.17,0,0,0,0,0,0
12251.2,0,0,0,0,0,0
12266.22,0,0,0,0,0,0
12281.25,0,0,0,0,0,0
12296.28,0,0,0,0,0,0
12311.3,0,0,0,0,0,0
12326.33,0,0,0,0,0,0
12341.36,0,0,0,0,0,0
12356.38,0,0,0,0,0,0
12371.41,0,0,0,0,0,0
12386.44,0,0,0,0,0,0
12401.47,0,0,0,0,0,0
12416.49,0,0,0,0,0,0
12431.52,0,0,0,0,0,0
12446.55,0,0,0,0,0,0
12461.57,0,0,0,0,0,0
12476.6,0,0,0,0,0,0
12491.63,0,0,0,0,0,0
12506.65,0,0,0,0,0,0
12521.68,0,0,0,0,0,0
12536.71,0,0,0,0,0,0
12551.74,0,0,0,0,0,0
12566.76,0,0,0,0,0,0
12581.79,0,0,0,0,0,0
12596.82,0,0,0,0,0,0
12611.84,0,0,0,0,0,0
12626.87,0,0,0,0,0,0
12641.9,0,0,0,0,0,0
12656.92,0,0,0,0,0,0
12671.95,0,0,0,0,0,0
12686.98,0,0,0,0,0,0
12702.01,0,0,0,0,0,0
12717.03,0,0,0,0,0,0
12732.06,0,0,0,0,0,0
12747.09,0,0,0,0,0,0
12762.11,0,0,0,0,0,0
12777.14,0,0,0,0,0,0
12792.17,0,0,0,0,0,0
12807.19,0,0,0,0,0,0
12822.22,0,0,0,0,0,0
12837.25,0,0,0,0,0,0
12852.28,0,0,0,0,0,0
12867.3,0,0,0,0,0,0
12882.33,0,0,0,0,0,0
12897.36,0,0,0,0,0,0
12912.38,0,0,0,0,0,0
12927.41,0,0,0,0,0,0
12942.44,0,0,0,0,0,0
12957.46,0,0,0,0,0,0
12972.49,0,0,0,0,0,0
12987.52,0,0,0,0,0,0
13002.54,0,0,0,0,0,0
13017.57,0,0,0,0,0,0
13032.6,0,0,0,0,0,0
13047.63,0,0,0,0,0,0
13062.65,0,0,0,0,0,0
13077.68,0,0,0,0,0,0
13092.71,0,0,0,0,0,0
13107.73,0,0,0,0,0,0
13122.76,0,0,0,0,0,0
13137.79,0,0,0,0,0,0
13152.81,0,0,0,0,0,0
13167.84,0,0,0,0,0,0
13182.87,0,0,0,0,0,0
13197.9,0,0,0,0,0,0
13212.92,0,0,0,0,0,0
13227.95,0,0,0,0,0,0
13242.98,0,0,0,0,0,0
13258,0,0,0,0,0,0
13273.03,0,0,0,0,0,0
13288.06,0,0,0,0,0,0
13303.08,0,0,0,0,0,0
13318.11,0,0,0,0,0,0
13333.14,0,0,0,0,0,0
13348.17,0,0,0,0,0,0
13363.19,0,0,0,0,0,0
13378.22,0,0,0,0,0,0
13393.25,0,0,0,0,0,0
13408.27,0,0,0,0,0,0
13423.3,0,0,0,0,0,0
13438.33,0,0,0,0,0,0
13453.35,0,0,0,0,0,0
13468.38,0,0,0,0,0,0
13483.41,0,0,0,0,0,0
13498.44,0,0,0,0,0,0
13513.46,0,0,0,0,0,0
13528.49,0,0,0,0,0,0
13543.52,0,0,0,0,0,0
13558.54,0,0,0,0,0,0
13573.57,0,0,0,0,0,0
13588.6,0,0,0,0,0,0
13603.62,0,0,0,0,0,0
13618.65,0,0,0,0,0,0
13633.68,0,0,0,0,0,0
13648.71,0,0,0,0,0,0
13663.73,0,0,0,0,0,0
13678.76,0,0,0,0,0,0
13693.79,0,0,0,0,0,0
13708.81,0,0,0,0,0,0
13723.84,0,0,0,0,0,0
13738.87,0,0,0,0,0,0
13753.89,0,0,0,0,0,0
13768.92,0,0,0,0,0,0
